Date,Creative,"Creative ID","Total Ads Requested"
2024-08-07,C615V9A-3550905-WDW_FY24_SPA_APAcquisition_Q1_Inspire_FLRES_AP_Disney_Pixie_Dust_Pass_300x250.zip,4481788,31203
2024-08-07,C615V9A-3550905-WDW_FY24_SPA_APAcquisition_Q1_Inspire_FLRES_AP_Disney_Pixie_Dust_Pass_300x600.zip,4481789,708
2024-08-07,C65IIRR-437677-WDW_FY19_ENG_SCAFT-BTM_160x600.zip,3118780,29914
2024-08-07,C65IIRR-437677-WDW_FY19_ENG_SCAFT-BTM_300x250.zip,3118781,150016
2024-08-07,C65IIRR-437677-WDW_FY19_ENG_SCAFT-BTM_300x600.zip,3118782,29991
2024-08-07,C65IIRR-437677-WDW_FY19_ENG_SCAFT-BTM_320x50_copy.zip,3573170,51989
2024-08-07,C65IIRR-437677-WDW_FY19_ENG_SCAFT-BTM_728x90.zip,3118783,67587
2024-08-07,C69AG1R-2976952-DCL_FY23_ENG_ACTIVATE_SET2-TEXAS-DOM-NOOFF_160x600.zip,4660779,3305
2024-08-07,C69AG1R-2976952-DCL_FY23_ENG_ACTIVATE_SET2-TEXAS-DOM-NOOFF_300x250.zip,4660780,38060
2024-08-07,C69AG1R-2976952-DCL_FY23_ENG_ACTIVATE_SET2-TEXAS-DOM-NOOFF_300x600.zip,4660781,4970
2024-08-07,C69AG1R-2976952-DCL_FY23_ENG_ACTIVATE_SET2-TEXAS-DOM-NOOFF_728x90.zip,4660782,9538
2024-08-07,C6DM013-3688803-WDW_FY24_ENG_V2_Hispanic-MK-HISP-4-Park-Magic-Ticket_160x600.zip,4754468,11160
2024-08-07,C6DM013-3688803-WDW_FY24_ENG_V2_Hispanic-MK-HISP-4-Park-Magic-Ticket_300x250.zip,4754469,134801
2024-08-07,C6DM013-3688803-WDW_FY24_ENG_V2_Hispanic-MK-HISP-4-Park-Magic-Ticket_300x600.zip,4754470,11731
2024-08-07,C6DM013-3688803-WDW_FY24_ENG_V2_Hispanic-MK-HISP-4-Park-Magic-Ticket_320x50.jpg,4740939,79337
2024-08-07,C6DM013-3688803-WDW_FY24_ENG_V2_Hispanic-MK-HISP-4-Park-Magic-Ticket_728x90.zip,4754471,47211
2024-08-07,C6E1EET-3894113-ABD_FY24_ENG_DDA_Q3-LandLaunch_160x600.zip,4695861,9146
2024-08-07,C6E1EET-3894113-ABD_FY24_ENG_DDA_Q3-LandLaunch_300x250.zip,4695862,117158
2024-08-07,C6E1EET-3894113-ABD_FY24_ENG_DDA_Q3-LandLaunch_300x600.zip,4695863,8212
2024-08-07,C6E1EET-3894113-ABD_FY24_ENG_DDA_Q3-LandLaunch_320x50_v2.jpg,4686975,116231
2024-08-07,C6E1EET-3894113-ABD_FY24_ENG_DDA_Q3-LandLaunch_728x90.zip,4695864,39729
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_ACTIVATE_DOM_NOOFF_160x600.zip,4454280,10623
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_ACTIVATE_DOM_NOOFF_300x250.zip,4454281,75054
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_ACTIVATE_DOM_NOOFF_300x600.zip,4454282,14727
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_ACTIVATE_DOM_NOOFF_320x50.jpg,4431565,1964
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_ACTIVATE_DOM_NOOFF_728x90.zip,4454283,24284
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_TRANSACT_DOM_NOOFF_160x600.zip,4454396,3395
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_TRANSACT_DOM_NOOFF_300x250.zip,4454397,17143
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_TRANSACT_DOM_NOOFF_300x600.zip,4454398,2560
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_TRANSACT_DOM_NOOFF_320x50.jpg,4431566,13055
2024-08-07,C6LPK9E-3311910-DCL_FY23_ENG_TRITON_TRANSACT_DOM_NOOFF_728x90.zip,4454399,5408
2024-08-07,C6Z2PQF-3162857-WDW_FY23_ENG_EEC_EN_NOOFF_320x50.jpg,4264934,0
2024-08-07,C7DN4Y2-3852401-AUL_FY24_ENG_Fall_BroadOffer_160x600.zip,4680635,9347
2024-08-07,C7DN4Y2-3852401-AUL_FY24_ENG_Fall_BroadOffer_300x250.zip,4680636,118815
2024-08-07,C7DN4Y2-3852401-AUL_FY24_ENG_Fall_BroadOffer_300x600.zip,4680638,9534
2024-08-07,C7DN4Y2-3852401-AUL_FY24_ENG_Fall_BroadOffer_320x50.jpg,4674994,115964
2024-08-07,C7DN4Y2-3852401-AUL_FY24_ENG_Fall_BroadOffer_728x90.zip,4680639,34662
2024-08-07,C7IF9WQ-3981921-WDW_FY25_ENG_ResortConversion-Q1-FlRes-HolidayRoomOnlyOffer-Inspire-V1-FLRES-Q1-FLRes-RoomOnlyOffer_160x600.zip,4798246,2808
2024-08-07,C7IF9WQ-3981921-WDW_FY25_ENG_ResortConversion-Q1-FlRes-HolidayRoomOnlyOffer-Inspire-V1-FLRES-Q1-FLRes-RoomOnlyOffer_300x250.zip,4798247,15351
2024-08-07,C7IF9WQ-3981921-WDW_FY25_ENG_ResortConversion-Q1-FlRes-HolidayRoomOnlyOffer-Inspire-V1-FLRES-Q1-FLRes-RoomOnlyOffer_300x600.zip,4798248,2480
2024-08-07,C7IF9WQ-3981921-WDW_FY25_ENG_ResortConversion-Q1-FlRes-HolidayRoomOnlyOffer-Inspire-V1-FLRES-Q1-FLRes-RoomOnlyOffer_320x50.jpg,4782652,18465
2024-08-07,C7IF9WQ-3981921-WDW_FY25_ENG_ResortConversion-Q1-FlRes-HolidayRoomOnlyOffer-Inspire-V1-FLRES-Q1-FLRes-RoomOnlyOffer_728x90.zip,4798249,7254
2024-08-07,C7KXUZZ-3413114-WDW_FY24_SPA_Hispanic_DAK_HISP_NOOFF_Pura_Magia_Set_1_160x600.zip,4736404,543
2024-08-07,C7KXUZZ-3413114-WDW_FY24_SPA_Hispanic_DAK_HISP_NOOFF_Pura_Magia_Set_1_300x250.zip,4736406,19481
2024-08-07,C7KXUZZ-3413114-WDW_FY24_SPA_Hispanic_DAK_HISP_NOOFF_Pura_Magia_Set_1_300x600.zip,4736407,515
2024-08-07,C7KXUZZ-3413114-WDW_FY24_SPA_Hispanic_DAK_HISP_NOOFF_Pura_Magia_Set_1_728x90.zip,4736408,1386
2024-08-07,C7LL20C-3889406-WDW_FY24_SPA_TianasBayou-Hisp-Static-SPA-HISP-NOOFF_160x600.zip,4746114,236
2024-08-07,C7LL20C-3889406-WDW_FY24_SPA_TianasBayou-Hisp-Static-SPA-HISP-NOOFF_300x250.zip,4746115,6311
2024-08-07,C7LL20C-3889406-WDW_FY24_SPA_TianasBayou-Hisp-Static-SPA-HISP-NOOFF_300x600.zip,4746116,176
2024-08-07,C7LL20C-3889406-WDW_FY24_SPA_TianasBayou-Hisp-Static-SPA-HISP-NOOFF_320x50.jpg,4740877,1110
2024-08-07,C7LL20C-3889406-WDW_FY24_SPA_TianasBayou-Hisp-Static-SPA-HISP-NOOFF_728x90.zip,4746117,8266
2024-08-07,C7UR5DK-3817653-WDW_FY24_ENG_ResortConversion-FloridaResidentTransactV2-FLRES-FLRes-SummerResortOffer_160x600.zip,4670912,19164
2024-08-07,C7UR5DK-3817653-WDW_FY24_ENG_ResortConversion-FloridaResidentTransactV2-FLRES-FLRes-SummerResortOffer_300x250.zip,4670913,152619
2024-08-07,C7UR5DK-3817653-WDW_FY24_ENG_ResortConversion-FloridaResidentTransactV2-FLRES-FLRes-SummerResortOffer_300x600.zip,4670914,11257
2024-08-07,C7UR5DK-3817653-WDW_FY24_ENG_ResortConversion-FloridaResidentTransactV2-FLRES-FLRes-SummerResortOffer_320x50.jpg,4667599,119930
2024-08-07,C7UR5DK-3817653-WDW_FY24_ENG_ResortConversion-FloridaResidentTransactV2-FLRES-FLRes-SummerResortOffer_728x90.zip,4670915,47405
2024-08-07,C7Y09UD-3976055-DLR_FY24_SPA_HalloweenTime-Inspire_160x600.zip,4760369,1004
2024-08-07,C7Y09UD-3976055-DLR_FY24_SPA_HalloweenTime-Inspire_300x250.zip,4760370,16166
2024-08-07,C7Y09UD-3976055-DLR_FY24_SPA_HalloweenTime-Inspire_300x600.zip,4760372,1355
